zpid,streetAddress,city,latitude,longitude,bedrooms,bathrooms,price,yearBuilt,homeStatus,homeType,livingArea,lotSize,daysOnZillow,zestimate,rentZestimate,lastSoldPrice,dateSold,taxAssessedValue,hoaFee,propertyTaxRate
5703217,401 Copperline Dr,Chapel Hill,35.882812,-79.06648,3.0,3.0,418000,1997.0,SOLD,TOWNHOUSE,1661.0,2178.0,886.0,514900.0,2269.0,418000.0,2020-10-22,353600.0,105.0,1.19
49995227,293 Highview Dr,Chapel Hill,35.939278,-79.0019,6.0,6.0,1369600,1988.0,OTHER,SINGLE_FAMILY,4391.0,111121.0,7910.0,1369600.0,6540.0,872000.0,2001-07-30,840943.0,0.0,1.22
49995228,297 Highview Dr,Chapel Hill,35.938824,-79.00168,5.0,5.0,976600,1987.0,OTHER,SINGLE_FAMILY,4167.0,65340.0,5113.0,976600.0,4597.0,600000.0,2009-03-27,543381.0,0.0,1.22
49995292,100 Kinsale Dr,Chapel Hill,35.92653,-79.00048,4.0,4.0,1176000,1999.0,OTHER,SINGLE_FAMILY,5040.0,25264.0,1879.0,1176000.0,5653.0,750000.0,,,0.0,1.22
49995301,221 Nottingham Dr,Chapel Hill,35.926987,-79.00106,4.0,3.5,976900,2001.0,OTHER,SINGLE_FAMILY,3479.0,25874.0,7230.0,976900.0,4665.0,595000.0,,,0.0,1.22
49995303,109 Kinsale Dr,Chapel Hill,35.927315,-79.000175,4.0,4.0,1338000,1997.0,OTHER,SINGLE_FAMILY,6729.0,1517978880.0,4452.0,1338000.0,6527.0,525000.0,,,0.0,1.22
49995305,209 Nottingham Dr,Chapel Hill,35.92829,-79.001724,3.0,4.0,1231600,1993.0,OTHER,SINGLE_FAMILY,4590.0,30011.0,3287.0,1231600.0,5875.0,725000.0,,,0.0,1.22
49995307,104 Great Oaks Pl,Chapel Hill,35.929516,-79.0016,5.0,4.0,1133600,1994.0,OTHER,SINGLE_FAMILY,3901.0,30491.0,3347.0,1133600.0,5447.0,650000.0,,,0.0,1.22
49995308,108 Great Oaks Pl,Chapel Hill,35.93006,-79.00166,5.0,5.0,1110000,1995.0,SOLD,SINGLE_FAMILY,4585.0,30491.0,524.0,1243000.0,6109.0,1110000.0,,,0.0,1.22
49995309,105 Great Oaks Pl,Chapel Hill,35.930122,-79.00222,4.0,4.0,1027900,1995.0,OTHER,SINGLE_FAMILY,2825.0,30927.0,3569.0,1027900.0,4800.0,635000.0,,,0.0,1.22
