zpid,streetAddress,city,latitude,longitude,bedrooms,bathrooms,price,yearBuilt,homeStatus,homeType,livingArea,lotSize,daysOnZillow,zestimate,rentZestimate,lastSoldPrice,dateSold,taxAssessedValue,hoaFee,propertyTaxRate
60074893,208 Oval Park Pl,Chapel Hill,35.90743,-79.01308,4.0,5.0,1623000,2004.0,OTHER,TOWNHOUSE,5354.0,4356.0,2086.0,1623000.0,3996.0,1050000.0,2019-07-09,1045100.0,266.0,0.84
50042477,208 Saint Thomas Dr,Chapel Hill,35.938435,-79.0061,3.0,2.5,429800,1993.0,OTHER,SINGLE_FAMILY,1722.0,5290.0,2176.0,429800.0,2319.0,260000.0,2019-04-10,240900.0,0.0,0.84
50034601,1800 N Greensboro St,Carrboro,35.921745,-79.08575,3.0,1.0,558400,1958.0,OTHER,SINGLE_FAMILY,1442.0,52707.0,8730.0,558400.0,2063.0,215000.0,2001-04-30,341700.0,0.0,0.84
50041350,305 Spruce St,Chapel Hill,35.930325,-79.019516,4.0,2.0,549500,1960.0,OTHER,SINGLE_FAMILY,1600.0,23696.0,2828.0,549500.0,2881.0,305000.0,2017-06-27,295000.0,0.0,0.84
50031414,101 Woodward Way,Chapel Hill,35.878162,-79.07533,2.0,1.0,337900,1955.0,OTHER,SINGLE_FAMILY,982.0,37897.0,5866.0,337900.0,1658.0,135000.0,2009-03-03,184000.0,0.0,0.84
50052085,106 Chippoaks Dr,Chapel Hill,35.956253,-79.01709,4.0,3.0,691200,1992.0,OTHER,SINGLE_FAMILY,2428.0,11761.0,1798.0,691200.0,3040.0,475100.0,2020-04-22,408700.0,7.0,0.84
50035749,138 Channing Ln,Chapel Hill,35.89243,-79.06396,3.0,2.5,434100,1986.0,OTHER,TOWNHOUSE,1671.0,5227.0,2811.0,434100.0,2369.0,265000.0,2017-07-14,257700.0,0.0,0.84
50039796,305 Burlage Cir,Chapel Hill,35.929108,-79.04021,4.0,2.0,691500,1958.0,OTHER,SINGLE_FAMILY,2001.0,21780.0,8324.0,691500.0,2988.0,219000.0,2002-06-10,420300.0,0.0,0.84
89697086,1006 Kingswood Dr APT H,Chapel Hill,35.90147,-78.99986,2.0,2.0,298600,1991.0,OTHER,CONDO,1020.0,,6215.0,298600.0,1671.0,179000.0,2008-03-19,162961.0,185.0,0.72
2093753667,3506 Environ Way,Chapel Hill,35.9054,-79.02,1.0,1.0,403500,2008.0,OTHER,SINGLE_FAMILY,797.0,43560.0,1336.0,403500.0,1612.0,320000.0,2021-07-28,289800.0,0.0,0.84
251559892,121 Sonoma Way,Chapel Hill,35.95411,-79.069435,3.0,2.5,488500,2005.0,OTHER,SINGLE_FAMILY,1979.0,3049.0,7193.0,488500.0,2554.0,263000.0,2005-07-15,296900.0,0.0,0.84
50049602,216 Black Tie Ln,Chapel Hill,35.957405,-79.05561,5.0,4.0,777100,1999.0,OTHER,SINGLE_FAMILY,2778.0,9147.0,3399.0,777100.0,3712.0,425000.0,2015-12-04,509800.0,0.0,0.84
60073459,273 Summerwalk Cir,Chapel Hill,35.896446,-79.01077,2.0,2.0,254700,1985.0,OTHER,CONDO,975.0,43560.0,8469.0,254700.0,1581.0,103000.0,2002-01-16,158600.0,0.0,0.84
50030936,107 Buckeye Ln,Chapel Hill,35.937546,-79.10247,4.0,2.5,782900,1997.0,OTHER,SINGLE_FAMILY,2500.0,13503.0,6230.0,782900.0,2957.0,450000.0,2008-03-04,435600.0,0.0,0.84
50041322,1202 Leclair St,Chapel Hill,35.926514,-79.01825,5.0,3.0,644400,1967.0,OTHER,SINGLE_FAMILY,2584.0,20037.0,2598.0,644400.0,4628.0,388000.0,2018-02-12,336300.0,0.0,0.84
49996142,104 Charlesberry Cir,Chapel Hill,35.937363,-79.001,4.0,2.5,618400,1987.0,OTHER,SINGLE_FAMILY,2419.0,16117.0,1733.0,618400.0,2509.0,365000.0,2020-06-26,314277.0,0.0,0.72
61800300,111 Butterfield Ct,Chapel Hill,35.964314,-79.06934,5.0,5.0,1035900,2003.0,OTHER,SINGLE_FAMILY,4945.0,11761.0,1559.0,1035900.0,5732.0,682500.0,2020-12-17,655500.0,80.0,0.84
50036436,111 Bristol Dr,Chapel Hill,35.893723,-79.065,4.0,2.5,603500,1985.0,OTHER,SINGLE_FAMILY,2276.0,16117.0,11250.0,603500.0,2912.0,181500.0,1994-06-06,367200.0,0.0,0.84
60076644,2701 Bridgeton Pl,Chapel Hill,35.982346,-79.053375,5.0,5.0,1760000,2000.0,SOLD,SINGLE_FAMILY,5649.0,95832.0,687.0,2020800.0,7271.0,1760000.0,2023-05-08,1303500.0,0.0,0.84
123218007,208 Della St,Chapel Hill,35.94422,-79.089745,4.0,3.0,774100,2012.0,OTHER,SINGLE_FAMILY,2835.0,3920.0,2871.0,774100.0,2805.0,460000.0,2017-05-15,441700.0,0.0,0.84
